01;01;00;00;0;8.2
01;01;0;10;0;6.6
01;01;0;20;0;6.35
01;01;0;30;0;6.25
01;01;0;40;0;6.15
01;01;0;50;0;6.1
01;01;1;00;0;6.0
01;01;1;10;0;5.9
01;01;1;20;0;6.2
01;01;1;30;0;6.3
01;01;1;40;0;6.4
01;01;1;50;0;6.5
01;01;2;00;0;6.55
01;01;2;10;0;6.5
01;01;2;20;0;6.45
01;01;2;30;0;6.5
01;01;2;40;0;6.6
01;01;2;50;0;6.55
01;01;3;00;0;6.5
01;01;3;10;0;6.5
01;01;3;20;0;6.6
01;01;3;30;0;6.7
01;01;3;40;0;6.8
01;01;3;50;0;6.8
01;01;4;00;0;6.699999999999999
01;01;4;10;0;6.449999999999999
01;01;4;20;0;6.199999999999999
01;01;4;30;0;6.1
01;01;4;40;0;6.1
01;01;4;50;0;6.0
01;01;5;00;0;5.9
01;01;5;10;0;5.9
01;01;5;20;0;5.9
01;01;5;30;0;6.1
01;01;5;40;0;6.1
01;01;5;50;0;6.1
01;01;6;00;0;6.1
01;01;6;10;0;6.1
01;01;6;20;0;6.1
01;01;6;30;0;6.1
01;01;6;40;0;6.0
01;01;6;50;0;5.9
01;01;7;00;0;5.9
01;01;7;10;0;5.9
01;01;7;20;0;5.9
01;01;7;30;0;6.1
01;01;7;40;0;6.1
01;01;7;50;0;6.1
01;01;8;00;0;6.1
01;01;8;10;0;6.1
01;01;8;20;0;6.1
01;01;8;30;0;6.1
01;01;8;40;0;6.1
01;01;8;50;0;6.1
01;01;9;00;0;6.1
01;01;9;10;0;6.1
01;01;9;20;0;6.2
01;01;9;30;0;6.2
01;01;9;40;0;6.3
01;01;9;50;0;6.4
01;01;10;00;0;6.4
01;01;10;10;0;6.4
01;01;10;20;0;6.5
01;01;10;30;0;6.55
01;01;10;40;0;6.55
01;01;10;50;0;6.6
01;01;11;00;0;6.55
01;01;11;10;0;6.6
01;01;11;20;0;6.7
01;01;11;30;0;6.7
01;01;11;40;0;6.8
01;01;11;50;0;7.05
01;01;12;00;0;7.2
01;01;12;10;0;7.55
01;01;12;20;0;7.75
01;01;12;30;0;7.9
01;01;12;40;0;7.9
01;01;12;50;0;8.2
01;01;13;00;0;8.25
01;01;13;10;0;8.4
01;01;13;20;0;8.6
01;01;13;30;0;8.6
01;01;13;40;0;8.8
01;01;13;50;0;8.9
01;01;14;00;0;8.9
01;01;14;10;0;8.850000000000001
01;01;14;20;0;8.8
01;01;14;30;0;8.8
01;01;14;40;0;8.75
01;01;14;50;0;8.7
01;01;15;00;0;8.649999999999999
01;01;15;10;0;8.6
01;01;15;20;0;8.6
01;01;15;30;0;8.6
01;01;15;40;0;8.7
01;01;15;50;0;8.7
01;01;16;00;0;8.7
01;01;16;10;0;8.9
01;01;16;20;0;8.9
01;01;16;30;0;8.850000000000001
01;01;16;40;0;8.75
01;01;16;50;0;8.649999999999999
01;01;17;00;0;8.6
01;01;17;10;0;8.6
01;01;17;20;0;8.6
01;01;17;30;0;8.5
01;01;17;40;0;8.4
01;01;17;50;0;8.3
01;01;18;00;0;8.149999999999999
01;01;18;10;0;8.0
01;01;18;20;0;7.9
01;01;18;30;0;7.800000000000001
01;01;18;40;0;7.65
01;01;18;50;0;7.5
01;01;19;00;0;7.4
01;01;19;10;0;7.300000000000001
01;01;19;20;0;7.1
01;01;19;30;0;6.95
01;01;19;40;0;6.85
01;01;19;50;0;6.8
01;01;20;00;0;6.75
01;01;20;10;0;6.7
01;01;20;20;0;6.65
01;01;20;30;0;6.5
01;01;20;40;0;6.35
01;01;20;50;0;6.3
01;01;21;00;0;6.199999999999999
01;01;21;10;0;6.0
01;01;21;20;0;5.85
01;01;21;30;0;6.1
01;01;21;40;0;6.2
01;01;21;50;0;6.3
01;01;22;00;0;6.199999999999999
01;01;22;10;0;6.0
01;01;22;20;0;6.1
01;01;22;30;0;5.9
01;01;22;40;0;5.550000000000001
01;01;22;50;0;5.300000000000001
01;01;23;00;0;5.050000000000001
01;01;23;10;0;4.85
01;01;23;20;0;5.1
